Fecha,Vistas
2020-01-31,407
2020-02-01,352
2020-02-02,426
2020-02-03,423
2020-02-04,427
2020-02-05,474
2020-02-06,464
2020-02-07,380
2020-02-08,423
2020-02-09,374
2020-02-10,683
2020-02-11,872
2020-02-12,693
2020-02-13,721
2020-02-14,595
2020-02-15,634
2020-02-16,651
2020-02-17,648
2020-02-18,484
2020-02-19,467
2020-02-20,369
2020-02-21,351
2020-02-22,325
2020-02-23,432
2020-02-24,382
2020-02-25,417
2020-02-26,455
2020-02-27,386
2020-02-28,393
2020-02-29,373
2020-03-01,469
2020-03-02,417
2020-03-03,453
2020-03-04,433
2020-03-05,484
2020-03-06,411
2020-03-07,395
2020-03-08,354
2020-03-09,435
2020-03-10,441
2020-03-11,396
2020-03-12,385
2020-03-13,453
2020-03-14,351
2020-03-15,620
2020-03-16,451
2020-03-17,433
2020-03-18,536
2020-03-19,510
2020-03-20,483
2020-03-21,462
2020-03-22,425
2020-03-23,460
2020-03-24,524
2020-03-25,713
2020-03-26,612
2020-03-27,514
2020-03-28,473
2020-03-29,491
2020-03-30,588
2020-03-31,529
2020-04-01,495
2020-04-02,546
2020-04-03,499
2020-04-04,525
2020-04-05,529
2020-04-06,546
2020-04-07,537
2020-04-08,493
2020-04-09,502
2020-04-10,462
2020-04-11,571
2020-04-12,625
2020-04-13,734
2020-04-14,626
2020-04-15,632
2020-04-16,660
2020-04-17,606
2020-04-18,702
2020-04-19,799
2020-04-20,762
2020-04-21,704
2020-04-22,683
2020-04-23,724
2020-04-24,771
2020-04-25,2809
2020-04-26,981
2020-04-27,992
2020-04-28,949
2020-04-29,808
2020-04-30,685
2020-05-01,791
2020-05-02,739
2020-05-03,683
2020-05-04,714
2020-05-05,903
2020-05-06,887
2020-05-07,1017
2020-05-08,984
2020-05-09,980
2020-05-10,886
2020-05-11,1148
2020-05-12,1093
2020-05-13,956
2020-05-14,952
2020-05-15,837
2020-05-16,1725
2020-05-17,1185
2020-05-18,1038
2020-05-19,1109
2020-05-20,1171
2020-05-21,998
2020-05-22,1023
2020-05-23,1135
2020-05-24,935
2020-05-25,959
2020-05-26,982
2020-05-27,1020
2020-05-28,1024
2020-05-29,944
2020-05-30,981
2020-05-31,1076
2020-06-01,1439
2020-06-02,1214
2020-06-03,1185
2020-06-04,1128
2020-06-05,1048
